Sentence #,Word,Tag,Word_idx,Tag_idx
7,"['thạc_sĩ', 'là', 'một', 'văn_bằng', 'cao_cấp', 'được', 'trao', 'bởi', 'các', 'trường', 'đại_học', 'trên', 'toàn', 'thế_giới', '.']","['E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[8, 294, 750, 202, 664, 351, 519, 609, 561, 374, 299, 178, 55, 159, 562]","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
118,"['tháng_trước', 'thi', 'advance', 'rồi']","['E-thang', 'O', 'O', 'O']","[85, 543, 550, 83]","[1, 3, 3, 3]"
204,"['code', 'web', 'bằng', 'gì']","['O', 'E-ngon_ngu', 'O', 'O']","[153, 752, 564, 749]","[3, 4, 3, 3]"
246,"['hồi', 'xưa', 'học', 'ngu', 'pascal', 'lắm']","['O', 'O', 'O', 'O', 'E-ngon_ngu', 'O']","[546, 774, 82, 630, 367, 378]","[3, 3, 3, 3, 4, 3]"
29,"['mình', 'nên', 'học', 'toeic', 'hay', 'ielts', 'hoặc', 'toefl', 'để', 'đáp_ứng', 'được', 'mục_tiêu', 'cá_nhân', 'đây']","['O', 'O', 'O', 'E-bang_cap', 'O', 'E-bang_cap', 'O', 'E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O']","[196, 555, 82, 190, 452, 748, 204, 623, 744, 421, 351, 278, 36, 682]","[3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 3, 3, 3]"
77,"['sau', 'vào', 'công_ty', 'đi', 'học', 'ielts', 'đi']","['O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O']","[150, 712, 679, 319, 82, 748, 319]","[3, 3, 3, 3, 3, 0, 3]"
55,"['gía', 'học', 'toefl', 'có', 'đắt', 'không']","['O', 'O', 'E-bang_cap', 'O', 'O', 'O']","[117, 82, 623, 169, 633, 324]","[3, 3, 0, 3, 3, 3]"
287,"['tố_chất', 'nào', 'quan_trọng', 'nhất', 'với', '1', 'tester']","['O', 'O', 'O', 'O', 'O', 'O', 'E-job']","[186, 104, 430, 780, 790, 591, 27]","[3, 3, 3, 3, 3, 3, 2]"
229,"['không', 'thích', 'android']","['O', 'O', 'E-ngon_ngu']","[324, 708, 628]","[3, 3, 4]"
139,"['tháng_2', 'phát_hành', 'tốc_chiến', 'à']","['E-thang', 'O', 'O', 'O']","[683, 800, 156, 639]","[1, 3, 3, 3]"
303,"['tester', 'có', 'cần', 'biết', 'code', 'hay', 'không', '.']","['E-job', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[27, 169, 168, 645, 153, 452, 324, 562]","[2, 3, 3, 3, 3, 3, 3, 3]"
84,"['việt', 'nam', 'toàn', 'học', 'toeic', 'với', 'ielts', 'thôi']","['O', 'O', 'O', 'O', 'E-bang_cap', 'O', 'E-bang_cap', 'O']","[803, 321, 55, 82, 190, 790, 748, 797]","[3, 3, 3, 3, 0, 3, 0, 3]"
4,"['job', 'data_engineer', 'này', 'xinh', 'vì', 'nắm', 'giữ', 'cả', 'mỏ', 'vàng', 'dữ_liệu', 'của', 'viettel']","['O', 'E-job', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[208, 2, 191, 566, 505, 60, 331, 380, 174, 16, 226, 466, 386]","[3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
11,"['bài', 'thi', 'ielts', 'được', 'thiết_kế', 'để', 'đánh_giá', 'khả_năng', 'ngôn_ngữ', 'của', 'mọi', 'người']","['O', 'O', 'E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[447, 543, 748, 351, 693, 744, 643, 375, 651, 466, 449, 568]","[3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
121,"['tháng_hai', 'hoa_ban', 'ngập_tràn', 'tím', 'biếc', 'những', 'gương_mặt', 'phố']","['E-thang', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[768, 582, 162, 260, 791, 244, 292, 525]","[1, 3, 3, 3, 3, 3, 3, 3]"
323,"['sau_này', 'đừng', 'lấy', 'vợ', 'chộng', 'làm', 'it', 'nhé']","['O', 'O', 'O', 'O', 'O', 'O', 'E-job', 'O']","[681, 183, 492, 173, 541, 694, 263, 448]","[3, 3, 3, 3, 3, 3, 2, 3]"
19,"['toeic', 'là', 'bài', 'thi', 'trắc_nghiệm', 'được', 'tiến_hành', 'trong', '2', 'giờ']","['E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[190, 294, 447, 543, 289, 351, 70, 700, 499, 262]","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
92,"['edutalk', 'đào_tạo', 'toiec', 'như', 'lol']","['O', 'O', 'E-bang_cap', 'O', 'O']","[642, 390, 388, 481, 335]","[3, 3, 0, 3, 3]"
10,"['toefl', 'là', 'một', 'trong', 'các', 'chứng_chỉ_tiếng_anh', 'quốc_tế', 'có', 'giá_trị', 'hiện_nay']","['E-bang_cap', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O', 'O', 'O', 'O']","[623, 294, 750, 700, 561, 304, 432, 169, 303, 158]","[0, 3, 3, 3, 3, 0, 3, 3, 3, 3]"
256,"['mày', 'học', 'python', 'ở', 'đâu', 'đấy']","['O', 'O', 'E-ngon_ngu', 'O', 'O', 'O']","[264, 82, 345, 252, 715, 629]","[3, 3, 4, 3, 3, 3]"
227,"['chưa', 'nghe', 'thấy', 'ngôn_ngữ', 'ruby', 'bao_giờ']","['O', 'O', 'O', 'O', 'E-ngon_ngu', 'O']","[42, 280, 217, 651, 230, 313]","[3, 3, 3, 3, 4, 3]"
47,"['lệ_phí', 'thi', 'chứng_chỉ', 'topik', 'là', 'bao_nhiêu']","['O', 'O', 'O', 'E-bang_cap', 'O', 'O']","[241, 543, 471, 250, 294, 461]","[3, 3, 3, 0, 3, 3]"
205,"['học', 'web', 'ở', 'đâu']","['O', 'E-ngon_ngu', 'O', 'O']","[82, 752, 252, 715]","[3, 4, 3, 3]"
363,"['tau', 'ước_ao', 'năm', 'sau', 'có_thể', 'đi', 'du_học']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[32, 689, 41, 150, 620, 319, 242]","[3, 3, 3, 3, 3, 3, 3]"
163,"['tháng_11', 'là', 'no', 'nut', 'november']","['E-thang', 'O', 'O', 'O', 'O']","[184, 294, 5, 261, 755]","[1, 3, 3, 3, 3]"
68,"['học', 'ielts_6.0', 'mất', 'bao_lâu']","['O', 'E-bang_cap', 'O', 'O']","[82, 451, 437, 718]","[3, 0, 3, 3]"
80,"['bây_giờ', 'đi', 'du_học', 'chỉ', 'cần', 'ielts_trên_6.0', 'là', 'được', 'rồi']","['O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O', 'O', 'O']","[423, 319, 242, 185, 168, 676, 294, 351, 83]","[3, 3, 3, 3, 3, 0, 3, 3, 3]"
201,"['code', 'java', 'tù', 'lắm']","['O', 'E-ngon_ngu', 'O', 'O']","[153, 64, 612, 378]","[3, 4, 3, 3]"
12,"['chứng_chỉ_sat', 'là', 'một', 'trong', 'những', 'yêu_cầu', 'không_thể', 'thiếu', 'nếu', 'bạn', 'muốn', 'đi', 'du_học']","['E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[11, 294, 750, 700, 244, 660, 270, 569, 731, 601, 459, 319, 242]","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
122,"['tháng_ba', 'bất_chợt', 'một', 'ngày', 'trắng_tinh_hoa', 'sưa', 'về', 'đây']","['E-thang', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[506, 142, 750, 274, 371, 580, 769, 682]","[1, 3, 3, 3, 3, 3, 3, 3]"
173,"['phong_trào', 'giải_phóng', 'dân_tộc', 'và', 'tổng_khởi_nghĩa', 'tháng_tám_(_1939_-_1945_)']","['O', 'O', 'O', 'O', 'O', 'E-thang']","[297, 454, 453, 93, 34, 480]","[3, 3, 3, 3, 3, 1]"
282,"['các', 'loại', 'tester']","['O', 'O', 'E-job']","[561, 192, 27]","[3, 3, 2]"
197,"['công_ty', 'misa', 'cần', 'tuyển', '2', 'lập_trình_viên', 'java', 'và', '3', 'lập_trình_viên', 'php', 'lương', 'thỏa_thuận']","['O', 'O', 'O', 'O', 'O', 'O', 'E-ngon_ngu', 'O', 'O', 'O', 'E-ngon_ngu', 'O', 'O']","[679, 544, 168, 163, 499, 531, 64, 93, 30, 531, 179, 111, 427]","[3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3]"
198,"['dự_án', 'thiếu', 'người', 'nên', 'mình', 'cần', 'tuyển', 'gấp', '2', 'bạn', 'code', 'java', 'lương', '200', 'k']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-ngon_ngu', 'O', 'O', 'O']","[194, 569, 568, 555, 196, 168, 163, 373, 499, 601, 153, 64, 111, 19, 479]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3]"
8,"['đa_số', 'master', 'yêu_cầu', 'đh', 'có', 'làm', 'luận_văn', 'tốt']","['O', 'E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O']","[232, 730, 660, 376, 169, 694, 44, 235]","[3, 0, 3, 3, 3, 3, 3, 3]"
96,"['lo_lắng', 'quá', 'tau', 'sắp', 'thi', 'toiec', 'rồi']","['O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O']","[404, 435, 32, 379, 543, 388, 83]","[3, 3, 3, 3, 3, 0, 3]"
274,"['làm', 'tester', 'lương', 'cao', 'không', '?']","['O', 'E-job', 'O', 'O', 'O', 'O']","[694, 27, 111, 436, 324, 307]","[3, 2, 3, 3, 3, 3]"
290,"['điểm', 'trừ', 'của', 'nghề', 'tester']","['O', 'O', 'O', 'O', 'E-job']","[141, 52, 466, 188, 27]","[3, 3, 3, 3, 2]"
299,"['tìm_hiểu', 'về', 'nghề', 'tester', 'cho', 'người', 'bắt_đầu']","['O', 'O', 'O', 'E-job', 'O', 'O', 'O']","[114, 769, 188, 27, 95, 568, 91]","[3, 3, 3, 2, 3, 3, 3]"
164,"['sơn', 'tùng', 'mới', 'ra', 'bài', 'đợt', 'tháng_5', 'đó']","['O', 'O', 'O', 'O', 'O', 'O', 'E-thang', 'O']","[412, 18, 74, 288, 447, 754, 149, 524]","[3, 3, 3, 3, 3, 3, 1, 3]"
160,"['đúng', 'là', 'tháng_cô_hồ', 'mà', 'xui', 'vãi', 'ra']","['O', 'O', 'E-thang', 'O', 'O', 'O', 'O']","[56, 294, 698, 722, 72, 13, 288]","[3, 3, 1, 3, 3, 3, 3]"
31,"['đặc_biệt', 'với', 'những', 'trường', 'lớn', 'yêu_cầu', 'càng', 'khắt_khe', 'với', 'chứng_chỉ_toeic', 'ielts']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'E-bang_cap']","[33, 790, 244, 374, 572, 660, 724, 530, 790, 290, 748]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0]"
15,"['toeic', 'có', 'khả_năng', 'đánh_giá', 'khả_năng', 'giao_tiếp', 'tiếng', 'anh']","['E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[190, 169, 375, 643, 375, 231, 474, 690]","[0, 3, 3, 3, 3, 3, 3, 3]"
43,"['chứng_chỉ', 'tiếng', 'anh', 'a1', 'a2', '-', 'khung', 'năng_lực', '6', 'bậc']","['O', 'O', 'O', 'E-bang_cap', 'E-bang_cap', 'O', 'O', 'O', 'O', 'O']","[471, 474, 690, 743, 9, 551, 107, 3, 384, 54]","[3, 3, 3, 0, 0, 3, 3, 3, 3, 3]"
0,"['ứng_viên', 'cần', 'có', 'bằng', 'thạc_sĩ', 'chuyên', 'nghành', 'khoa_học', 'máy_tính', 'và', 'ielts_6.0', '+']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O']","[695, 168, 169, 564, 8, 625, 122, 597, 515, 93, 451, 392]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3]"
128,"['mùa', 'hoa_sữa', 'rơi', 'tháng_chín', 'nồng_nàn']","['O', 'O', 'O', 'E-thang', 'O']","[339, 560, 669, 558, 763]","[3, 3, 3, 1, 3]"
232,"['tao', 'ghét', 'android', 'vãi']","['O', 'O', 'E-ngon_ngu', 'O']","[508, 648, 628, 13]","[3, 3, 4, 3]"
107,"['một', 'năm', 'có', 'bao_nhiêu', 'tháng']","['O', 'O', 'O', 'O', 'E-thang']","[750, 41, 169, 461, 596]","[3, 3, 3, 3, 1]"
245,"['code', 'pascal', 'tù', 'ghê']","['O', 'E-ngon_ngu', 'O', 'O']","[153, 367, 612, 756]","[3, 4, 3, 3]"
95,"['không', 'biết', 'nên', 'đi', 'học', 'topik', 'không', 'nữa']","['O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O', 'O']","[324, 645, 555, 319, 82, 250, 324, 640]","[3, 3, 3, 3, 3, 0, 3, 3]"
17,"['các', 'nước', 'theo', 'hệ_thống', 'giáo_dục', 'anh', 'thường', 'chỉ', 'yêu_cầu', 'ielts']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-bang_cap']","[561, 634, 704, 588, 296, 690, 574, 185, 660, 748]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 0]"
310,"['học', 'gì', 'để', 'trở_thành', '1', 'tester']","['O', 'O', 'O', 'O', 'O', 'E-job']","[82, 749, 744, 438, 591, 27]","[3, 3, 3, 3, 3, 2]"
85,"['du_học', 'thạc', 'sỹ', 'bên', 'trung', 'yêu_cầu', 'hsk_5', 'trở', 'lên']","['O', 'O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O', 'O']","[242, 806, 495, 71, 498, 660, 349, 385, 399]","[3, 3, 3, 3, 3, 3, 0, 3, 3]"
315,"['hiện', 'tại', 'em', 'muốn', 'apply', 'vị_trí', 'lập_trình_viên_android']","['O', 'O', 'O', 'O', 'O', 'O', 'E-job']","[116, 118, 119, 459, 53, 711, 738]","[3, 3, 3, 3, 3, 3, 2]"
56,"['học', 'topik', 'có', 'đắt', 'không']","['O', 'E-bang_cap', 'O', 'O', 'O']","[82, 250, 169, 633, 324]","[3, 0, 3, 3, 3]"
214,"['code', 'python', 'tiện', 'ghê']","['O', 'E-ngon_ngu', 'O', 'O']","[153, 345, 139, 756]","[3, 4, 3, 3]"
129,"['tết', 'nguyên_đán', 'thường', 'vào', 'tháng_1', 'hoặc', 'tháng_2', 'dương_lịch']","['O', 'O', 'O', 'O', 'E-thang', 'O', 'E-thang', 'O']","[626, 354, 574, 712, 444, 204, 683, 409]","[3, 3, 3, 3, 1, 3, 1, 3]"
314,"['tuyển', 'lập_trình', 'không']","['O', 'E-job', 'O']","[163, 661, 324]","[3, 2, 3]"
72,"['chứng_chỉ', 'hsk', 'chưa', 'có', 'sẽ', 'học', '1', 'năm', 'tiếng']","['O', 'E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[471, 788, 42, 169, 719, 82, 591, 41, 474]","[3, 0, 3, 3, 3, 3, 3, 3, 3]"
233,"['tôi', 'muốn', 'làm', 'ứng_dụng', 'android']","['O', 'O', 'O', 'O', 'E-ngon_ngu']","[308, 459, 694, 567, 628]","[3, 3, 3, 3, 4]"
13,"['toeic', 'toefl', 'và', 'chứng_chỉ_ielts', 'khác', 'nhau', 'chỗ', 'nào', 'vậy']","['E-bang_cap', 'E-bang_cap', 'O', 'E-bang_cap', 'O', 'O', 'O', 'O', 'O']","[190, 623, 93, 328, 784, 475, 318, 104, 804]","[0, 0, 3, 0, 3, 3, 3, 3, 3]"
202,"['học', 'java', 'không', 'phát_triển', 'được']","['O', 'E-ngon_ngu', 'O', 'O', 'O']","[82, 64, 324, 487, 351]","[3, 4, 3, 3, 3]"
106,"['học', 'tiếng', 'nhật', 'bao_lâu', 'để', 'được', 'n4']","['O', 'O', 'O', 'O', 'O', 'O', 'E-bang_cap']","[82, 474, 484, 718, 744, 351, 773]","[3, 3, 3, 3, 3, 3, 0]"
137,"['mi', 'sinh', 'tháng_sáu', 'à']","['O', 'O', 'E-thang', 'O']","[767, 798, 357, 639]","[3, 3, 1, 3]"
114,"['tháng_sau', 'là', 'tết', 'rồi']","['E-thang', 'O', 'O', 'O']","[458, 294, 626, 83]","[1, 3, 3, 3]"
171,"['việt', 'nam', 'gia_nhập', 'asean', '10/1995']","['O', 'O', 'O', 'O', 'E-thang']","[803, 321, 333, 593, 468]","[3, 3, 3, 3, 1]"
133,"['tháng_này', 'có', 'hoa_cúc', 'họa', 'mi', 'đó']","['E-thang', 'O', 'O', 'O', 'O', 'O']","[218, 169, 267, 610, 767, 524]","[1, 3, 3, 3, 3, 3]"
24,"['ielts', 'đánh_giá', 'toàn_diện', '4', 'kỹ_năng', 'nghe', 'nói', 'đọc', 'và', 'viết']","['E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[748, 643, 128, 539, 300, 280, 692, 102, 93, 126]","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
1,"['ad', 'biết', 'nhiều', 'bạn', 'muốn', 'làm', 'phd', 'nhưng', 'có_thể', 'hoặc', 'chưa', 'đủ', 'ielts', 'hoặc', 'chưa', 'thành_thạo', 'deep', 'learning']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O', 'O', 'O', 'O', 'O']","[666, 645, 485, 601, 459, 694, 657, 147, 620, 204, 42, 249, 748, 204, 42, 497, 496, 516]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3]"
223,"['tôi', 'đang', 'học', 'java']","['O', 'O', 'O', 'E-ngon_ngu']","[308, 157, 82, 64]","[3, 3, 3, 4]"
286,"['những', 'kĩ_năng', 'cần_thiết', 'để', 'trở_thành', '1', 'tester', 'giỏi']","['O', 'O', 'O', 'O', 'O', 'O', 'E-job', 'O']","[244, 216, 783, 744, 438, 591, 27, 134]","[3, 3, 3, 3, 3, 3, 2, 3]"
301,"['một', 'tester', 'chuẩn', 'nên', 'bắt_đầu', 'từ', 'đâu']","['O', 'E-job', 'O', 'O', 'O', 'O', 'O']","[750, 27, 198, 555, 91, 602, 715]","[3, 2, 3, 3, 3, 3, 3]"
64,"['công_ty', 'có', 'tuyển', 'nhân_viên', 'không', 'chứng_chỉ_tiếng_anh', 'không']","['O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O']","[679, 169, 163, 58, 324, 304, 324]","[3, 3, 3, 3, 3, 0, 3]"
58,"['có', 'khóa', 'học', 'nào', '10', 'triêu', 'học', 'hsk', 'không']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O']","[169, 520, 82, 104, 366, 537, 82, 788, 324]","[3, 3, 3, 3, 3, 3, 3, 0, 3]"
9,"['toeic', 'được', 'soạn', 'dựa', 'trên', 'toefl', 'và', 'được', 'kiểm_chứng', 'công_nhận', 'trên', 'hầu_hết', 'các', 'quốc_gia', 'trên', 'thế_giới']","['E-bang_cap', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[190, 351, 450, 753, 178, 623, 93, 351, 534, 670, 178, 282, 561, 275, 178, 159]","[0, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
97,"['ngại', 'đi', 'học', 'toiec', 'dã_man']","['O', 'O', 'O', 'E-bang_cap', 'O']","[624, 319, 82, 388, 237]","[3, 3, 3, 0, 3]"
103,"['bjt', 'là', 'chứng_chỉ_tiếng_nhật', 'à']","['E-bang_cap', 'O', 'E-bang_cap', 'O']","[443, 294, 291, 639]","[0, 3, 0, 3]"
108,"['tháng_1', 'trong', 'tiếng', 'anh', 'là', 'gì']","['E-thang', 'O', 'O', 'O', 'O', 'O']","[444, 700, 474, 690, 294, 749]","[1, 3, 3, 3, 3, 3]"
369,"['sóng_gió', 'phũ', 'đời', 'trai', ',', 'tương_lai', 'nhờ', 'nhà', 'ngoại']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[353, 369, 781, 465, 287, 47, 144, 233, 243]","[3, 3, 3, 3, 3, 3, 3, 3, 3]"
240,"['bắt_đầu', 'học', 'từ', 'c', 'nhé']","['O', 'O', 'O', 'E-ngon_ngu', 'O']","[91, 82, 602, 697, 448]","[3, 3, 3, 4, 3]"
136,"['tháng_sáu', 'nắng', 'bỏ_mẹ', 'ra']","['E-thang', 'O', 'O', 'O']","[357, 428, 751, 288]","[1, 3, 3, 3]"
211,"['bên', 'chị', 'đang', 'cần', '2', 'bạn', 'dev', 'code', 'python', 'lương', 'thỏa_thuận']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-ngon_ngu', 'O', 'O']","[71, 206, 157, 168, 499, 601, 792, 153, 345, 111, 427]","[3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3]"
89,"['các', 'thầy', 'trường', 'mình', 'toàn', 'ielts_7.0']","['O', 'O', 'O', 'O', 'O', 'E-bang_cap']","[561, 523, 374, 196, 55, 456]","[3, 3, 3, 3, 3, 0]"
295,"['bổ_sung', 'kiến_thức', 'cho', 'công_việc', 'tester', 'như', 'nào', '?']","['O', 'O', 'O', 'O', 'E-job', 'O', 'O', 'O']","[277, 317, 95, 433, 27, 481, 104, 307]","[3, 3, 3, 3, 2, 3, 3, 3]"
14,"['giữa', 'các', 'chứng_chỉ_ielts', 'và', 'toefl', 'hay', 'toeic', 'thì', 'đâu', 'mới', 'là', 'bằng_cấp', 'hữu_ích', 'cho', 'bạn']","['O', 'O', 'E-bang_cap', 'O', 'E-bang_cap', 'O', 'E-bang_cap', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[504, 561, 328, 93, 623, 452, 190, 254, 715, 74, 294, 247, 510, 95, 601]","[3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3]"
44,"['tôi', 'muốn', 'đi', 'du_học', 'trung', 'mà', 'không', 'có', 'hsk', 'có', 'được', 'không']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'O', 'O', 'O']","[308, 459, 319, 242, 498, 722, 324, 169, 788, 169, 351, 324]","[3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3]"
311,"['người', 'trái', 'ngành', 'gặp', 'khó_khăn', 'gì', 'khi', 'làm', 'công_việc', 'tester']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-job']","[568, 103, 108, 312, 616, 749, 801, 694, 433, 27]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 2]"
259,"['học', 'lập_trình', 'web', 'xong', 'muốn', 'theo', 'web', 'luôn']","['O', 'O', 'E-ngon_ngu', 'O', 'O', 'O', 'E-ngon_ngu', 'O']","[82, 661, 752, 97, 459, 704, 752, 547]","[3, 3, 4, 3, 3, 3, 4, 3]"
